circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude
Uttar Pradesh Circle,Varanasi Region,Varanasi East Division,Mavaiya BO,232102,BO,Delivery,CHANDAULI,UTTAR PRADESH,25.31877,83.377
Uttar Pradesh Circle,Varanasi Region,Varanasi East Division,Tahirpur BO,232110,BO,Delivery,CHANDAULI,UTTAR PRADESH,25.27646,83.033450000000002
Uttar Pradesh Circle,Varanasi Region,Varanasi East Division,Bhikhampur BO,232103,BO,Delivery,CHANDAULI,UTTAR PRADESH,25.281,83.119
Uttar Pradesh Circle,Varanasi Region,Varanasi East Division,Jamunipur BO,232104,BO,Delivery,CHANDAULI,UTTAR PRADESH,25.281,83.2577
Uttar Pradesh Circle,Varanasi Region,Varanasi East Division,Khagwal BO,232104,BO,Delivery,CHANDAULI,UTTAR PRADESH,25.281,83.2577
Uttar Pradesh Circle,Varanasi Region,Varanasi East Division,Khurja BO,232104,BO,Delivery,CHANDAULI,UTTAR PRADESH,25.281,83.2577
Uttar Pradesh Circle,Varanasi Region,Varanasi East Division,Parasikalan BO,232104,BO,Delivery,CHANDAULI,UTTAR PRADESH,25.281,83.2577
Uttar Pradesh Circle,Varanasi Region,Varanasi East Division,Barthara Khurd BO,221104,BO,Delivery,VARANASI,UTTAR PRADESH,25.49391,83.01285
Uttar Pradesh Circle,Varanasi Region,Varanasi East Division,Jalhupur BO,221104,BO,Delivery,VARANASI,UTTAR PRADESH,25.49391,83.01285
Uttar Pradesh Circle,Varanasi Region,Varanasi East Division,Khetalpur BO,221104,BO,Delivery,VARANASI,UTTAR PRADESH,25.49391,83.01285
